"","Family","MorphousSp","MorphousSpKZN","MorphousSpMP","Commonness","Abundance","KZN1","KZN2","KZN3","KZN4","KZN5","KZN6","KZN7","MP1","MP2","MP3","MP4","MP5","MP6","MP7"
"Bostrichidae_Bostrichinae_Xyloperthini_Xylopsocus_sellatus","Bostrichidae",1,1,1,3,6,0,0,2,0,0,0,0,0,2,0,0,2,0,0
"Bostrichidae_Bostrichidae_sp1","Bostrichidae",1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Elateridae_Elateridae_sp1","Elateridae",1,0,1,2,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0
"Elateridae_Elateridae_sp2","Elateridae",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Elateridae_Elateridae_sp3","Elateridae",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Scarabaeidae_Rutelinae_Adoretini_Adorentina_Adoretus_capicola","Scarabaeidae",1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Scarabaeidae_Rutelinae_Adoretini_Adorentina_Adoretus_sp1","Scarabaeidae",1,0,1,3,9,0,0,0,0,0,0,0,2,0,0,6,0,0,1
"Scarabaeidae_Melolonthinae_Pegylis_sommeri","Scarabaeidae",1,1,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Scarabaeidae_Melolonthinae_Hopliini_Congella_sp1","Scarabaeidae",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Scarabaeidae_Melolonthinae_Hopliini__sp2","Scarabaeidae",1,0,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Scarabaeidae_Melolonthinae_Hopliini_sp3","Scarabaeidae",1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Scarabaeidae_Cetoniinae_Leucocelis_rubra","Scarabaeidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scarabaeidae_Cetoniinae_sp1","Scarabaeidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scarabaeidae_Cetoniinae_Cyrtothyrea_marginalis","Scarabaeidae",1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Scarabaeidae_Trichiinae_sp1","Scarabaeidae",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Scarabaeidae_Aphodiinae_Trichaphodius_sp1","Scarabaeidae",1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Scarabaeidae_Aphodiinae_sp1","Scarabaeidae",1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Melyridae_Malachiinae_Colotes_plagiallus","Melyridae",1,1,1,9,188,0,0,2,0,0,5,0,30,26,3,25,9,39,49
"Melyridae_Malachiinae_Scelomixis_zuluensis","Melyridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
